k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,31.4434,1.238,69.02173913043478,0.5915342618442891,0.20264947521931478,-5.936079190483426
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,31.4434,2.238,69.02173913043478,0.5915171207640607,0.20264118823345,-5.935610582407007
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,31.4434,3.238,69.02173913043478,0.5915004838660936,0.2026331100035706,-5.935154358028093
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,32.9434,1.238,69.02173913043478,0.5915629354436962,0.20266555817778154,-5.936951897617352
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,32.9434,2.238,69.02173913043478,0.5915456589686412,0.2026572129343746,-5.936479876080636
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,32.9434,3.238,69.02173913043478,0.591528886758821,0.20264907653466105,-5.936020242413532
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,34.4434,1.238,68.93115942028986,0.5915926362281789,0.20268208076060448,-5.946908378220625
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,34.4434,2.238,68.93115942028986,0.5915752239865217,0.20267367691495752,-5.946432926461489
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1037,34.4434,3.238,69.02173913043478,0.5915583160926182,0.20266548199997292,-5.936911895696385
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,31.4434,1.238,69.02173913043478,0.5915342618442891,0.20264947521931478,-5.936079190483426
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,31.4434,2.238,69.02173913043478,0.5915171207640607,0.20264118823345,-5.935610582407007
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,31.4434,3.238,69.02173913043478,0.5915004838660936,0.2026331100035706,-5.935154358028093
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,32.9434,1.238,69.02173913043478,0.5915629354436962,0.20266555817778154,-5.936951897617352
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,32.9434,2.238,69.02173913043478,0.5915456589686412,0.2026572129343746,-5.936479876080636
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,32.9434,3.238,69.02173913043478,0.591528886758821,0.20264907653466105,-5.936020242413532
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,34.4434,1.238,68.93115942028986,0.5915926362281789,0.20268208076060448,-5.946908378220625
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,34.4434,2.238,68.93115942028986,0.5915752239865217,0.20267367691495752,-5.946432926461489
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1337,34.4434,3.238,69.02173913043478,0.5915583160926182,0.20266548199997292,-5.936911895696385
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,31.4434,1.238,69.02173913043478,0.5915342618442891,0.20264947521931478,-5.936079190483426
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,31.4434,2.238,69.02173913043478,0.5915171207640607,0.20264118823345,-5.935610582407007
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,31.4434,3.238,69.02173913043478,0.5915004838660936,0.2026331100035706,-5.935154358028093
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,32.9434,1.238,69.02173913043478,0.5915629354436962,0.20266555817778154,-5.936951897617352
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,32.9434,2.238,69.02173913043478,0.5915456589686412,0.2026572129343746,-5.936479876080636
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,32.9434,3.238,69.02173913043478,0.591528886758821,0.20264907653466105,-5.936020242413532
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,34.4434,1.238,68.93115942028986,0.5915926362281789,0.20268208076060448,-5.946908378220625
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,34.4434,2.238,68.93115942028986,0.5915752239865217,0.20267367691495752,-5.946432926461489
5.449,34.7875,48.2153,17.0869,34.4854,43.6003,0.1637,34.4434,3.238,69.02173913043478,0.5915583160926182,0.20266548199997292,-5.936911895696385
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,31.4434,1.238,68.75,0.5915291915787512,0.20264687893000058,-5.963108689830033
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,31.4434,2.238,68.75,0.5915124354966336,0.20263865338503778,-5.96264561937458
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,31.4434,3.238,68.84057971014492,0.5914961827591299,0.20263063586167948,-5.953136925525726
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,32.9434,1.238,68.84057971014492,0.5915578701846805,0.20266296756005428,-5.954923692865123
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,32.9434,2.238,68.75,0.5915409788462697,0.2026546839018335,-5.963515186843498
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,32.9434,3.238,68.84057971014492,0.5915245909355296,0.20264660835258197,-5.954003090573023
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,34.4434,1.238,68.84057971014492,0.5915875746563851,0.20267949452755948,-5.955822407338967
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,34.4434,2.238,69.02173913043478,0.5915705476908041,0.20267115241342937,-5.937236565020131
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1037,34.4434,3.238,68.93115942028986,0.5915540242354995,0.2026630184948971,-5.945836991650893
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,31.4434,1.238,68.75,0.5915291915787512,0.20264687893000058,-5.963108689830033
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,31.4434,2.238,68.75,0.5915124354966336,0.20263865338503778,-5.96264561937458
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,31.4434,3.238,68.84057971014492,0.5914961827591299,0.20263063586167948,-5.953136925525726
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,32.9434,1.238,68.84057971014492,0.5915578701846805,0.20266296756005428,-5.954923692865123
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,32.9434,2.238,68.75,0.5915409788462697,0.2026546839018335,-5.963515186843498
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,32.9434,3.238,68.84057971014492,0.5915245909355296,0.20264660835258197,-5.954003090573023
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,34.4434,1.238,68.84057971014492,0.5915875746563851,0.20267949452755948,-5.955822407338967
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,34.4434,2.238,69.02173913043478,0.5915705476908041,0.20267115241342937,-5.937236565020131
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1337,34.4434,3.238,68.93115942028986,0.5915540242354995,0.2026630184948971,-5.945836991650893
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1637,31.4434,1.238,68.75,0.5915291915787512,0.20264687893000058,-5.963108689830033
5.449,34.7875,48.2153,17.0869,34.4854,45.1003,0.1637,31.4434,2.238,68.75,0.5915124354966336,0.20263865338503778,-5.96264561937458
