k,home_adv,player_boost,starter_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,overtime_factor,score
3.2242917358214536,24.554403103607054,31.233332869057918,36.60205143158194,27.159756511808645,7.7864244534466875,7.674151011593546,7.730749145613932,1.1561352877013065,5.203786613700944,35.232604184929414,13.23722856564152,23.348878111612386,6.809529119900682,7.928342649106772,0.09224970464943306,6.401063147425267,7.320127573784647,2.3394604554199465,1.8228208655927787,7.1919799304107315,-44.36745288390293
9.561367906997376,35.75682856103376,25.636589686657903,42.50934740138901,16.074757691976373,1.1424247358436443,8.734382958654493,7.492519844641103,1.2090651644965484,24.318305827846903,25.212413262433568,4.9099103064114935,19.213766919904188,5.87513982047328,1.253459958672894,6.015623865768463,8.123777886930283,2.416120055252904,4.072493944238109,2.135786194199157,7.077771664457992,-44.740532118246215
8.744518800789836,31.45258281127053,27.703555904163778,37.42632767753426,24.08836597795274,3.2329397926267793,14.121936647427626,9.343128388435533,0.8415614966152161,10.720271001231978,19.805475562651424,15.146556239610941,5.112419865264524,7.3822393163118925,4.9039228847026255,5.756482223059752,10.427820079416751,7.0954246439251785,3.628356018138952,1.2823851665048853,5.695958046157542,-45.2090548159061
9.245572332262062,16.891988013546566,26.564763559832027,26.391228040648176,30.681997907618452,0.9257110717342845,2.464899996233859,0.5157314602853118,1.122250205241676,13.665714767355547,24.134267347013115,12.68181933689049,42.457794876484556,0.26798197562853854,4.609181213499871,0.6135303468281021,6.687495670518939,2.7552519318721074,0.6798127711141132,4.018551681902427,4.569089688141562,-45.30498437954912
3.625442949444686,13.006571751263204,17.87230108777849,46.688045922559716,33.586836898351095,3.9532519800330994,9.757748693472738,3.9366638473475515,1.2386035925210956,26.325576957886433,34.13908771031551,1.1067315658145862,13.876645538216096,0.9782124035229456,5.9220176088669305,3.48695211901827,3.325933624648405,0.2769195381888735,4.37024103759828,3.4948244940129425,1.4691374475332135,-45.3193806389498
1.209036900199544,19.39289496206397,30.389258761601866,39.56506226258604,34.40330012093716,4.557681144544946,12.084197216095045,4.436612758788709,0.890726560545414,18.498667962130728,26.53516020273779,7.181922126102051,47.88019962863703,2.091536236818871,7.236019819125504,3.5100583342949783,11.477371143494786,6.443797840583696,0.877517405341984,2.497902031583808,3.216352650501092,-45.8349495106006
1.9287332396343597,25.49451988832707,23.775336073695026,29.38906542698049,29.9658758336173,1.6603360248830943,4.06500776517824,5.271783180741625,0.741809772711927,20.968304366719938,32.09691377008272,3.721727018599526,11.45635513222199,3.401151068166927,2.8998651964469966,2.4769366783031708,4.247477955657569,1.6803097724595197,1.6625314653480603,0.8093552543299434,12.595438149159648,-44.72111194454911
5.01885773445129,20.454552020767018,24.73617282953023,43.75905726403891,26.547786278716003,0.19430718969526012,14.396288294572583,4.720539967843343,1.0639157674753092,6.92842054775022,36.21703508309528,19.244078273318515,32.21710540053927,1.3237988106751033,1.7713801215464913,4.861732239121215,10.068910157830384,5.246781406120203,4.46329683997731,1.083952680486984,8.590836968403787,-44.6047705132351
5.688421379478193,33.31307366749088,19.27368152027986,40.929344191704274,22.365258481558563,2.036994297340129,12.792894444361082,6.405874106429322,0.7249688862450546,12.780789427192168,32.576106057782056,11.546434655035952,45.11385739362463,4.939385263983792,4.002896326514445,1.1596464021920938,2.3024157188202112,6.280159109188514,1.3459246693467537,1.6927256262095522,0.6434390540775949,-44.919827032914554
8.633133100741873,26.69071005137095,32.61474950571649,31.53847266014518,28.08640952502769,6.145701345793709,6.77240674611967,9.794573487479267,0.9847834767983377,16.011946383302554,37.583467621008786,14.514593228781434,40.65216760842689,0.6010600419605837,3.4973962427285725,6.536051848890105,8.526575741300931,5.939158169475409,0.3856920207477823,2.9480810419534578,4.0096240514984265,-44.97645751478859
