k,home_adv,player_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,bye_week_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,score
49.117060738249535,6.111743328529113,18.23806666066407,3.4351555763160366,8.878874572403069,5.161874416942144,0.20254713521929243,0.6129891962457703,5.313213655181702,8.352788033394479,25.76917768180312,4.829423259209292,17.273689423173348,0.41781439211922206,17.555989551248807,17.16414212324449,1.895091157788815,16.224725943704293,0.5069503094242126,4.968581601823974,-13.80535285608428
34.81008965952503,11.266312906801716,22.683060944266153,9.01079101833504,1.5917637284799362,1.1250904760098233,4.597246612861599,0.6344713316742149,2.033987855519181,10.314836376721985,36.2167650331923,3.52490738476541,10.602122367670475,4.063952901478069,18.957815884598304,17.492692484117782,8.008351007675534,16.562048886217383,1.212382447423521,2.455291325566006,-14.114333505969944
26.122748324332186,23.013747579624987,20.66132372298458,11.684774778164407,7.797328729002836,13.25856871335864,7.980660857925202,0.5262014421586327,8.799528708067077,2.219706026947541,37.84751856884937,0.5789580988974061,21.78970615114533,4.7376737793055685,18.489268127146318,16.49820236425477,2.527561165048747,15.986817592449652,2.2709743200489187,5.312793672111722,-13.876944461054178
28.28028667083321,23.91895594851058,33.98178868288943,7.382153822188935,12.552885229004096,14.392301791901994,11.27375719354343,0.5466258163132439,7.904822193439255,7.512367819475086,32.98891133514876,2.528410274177664,2.30159659041634,1.2639066277138626,19.99197544492406,16.71610674110576,1.5202033505137744,17.689215892529724,1.964336592084421,6.2397394332592775,-13.777604170346123
36.856890961060216,39.99900191201023,30.406416998705446,2.5594803359694587,16.25365784094494,7.400971012862623,0.8477326303616755,1.0757289075925696,3.374166413353362,6.7218076740051,29.145809659019328,3.3227673808798954,16.66698051603133,1.3612199707530022,15.772552372451601,15.245903940944832,0.9674203441762056,15.316347540608804,3.258405644802774,3.2669987737771593,-13.646198181547787
22.404633579141695,31.663706465080196,27.56882799650272,1.0344214286742848,14.097173875542621,0.032574140399992624,9.550866711520351,1.0093526563756834,0.7768113328137477,0.8523442309053496,23.99613065088732,3.9207120934325363,7.506959806319836,0.19205653275419282,15.01321035725266,15.453883667075614,3.290681487441288,19.473204019919294,2.64113971787006,2.9923131246001415,-13.783335359663285
42.79111682978201,33.5465413739648,23.948032152719385,6.332793217155995,2.7515998964435315,6.852679058170969,5.441253003688413,0.6978126517634683,4.676698858548753,13.42538360177457,39.4326310296034,4.155785882019091,24.74550135157913,3.20578460415979,18.190011843091902,18.526941730707048,5.387795087894563,16.73936595531312,3.09471002992796,3.8595232998651516,-14.04287547241773
47.522340312986415,37.62691479495962,28.917617842000567,12.176452182361027,10.058680207975055,12.065616654885023,2.5177869464397773,1.0418728321773334,13.089196232824248,11.48098802349618,37.2745689478211,2.838687322497325,23.190908766900613,0.7841136418864187,16.15304318473203,19.522636793963827,4.65201684972526,15.633455291648083,0.7191744019161787,1.6989064484709433,-14.020509216199159
33.14795820664477,20.094545264099676,38.69434055156469,10.582424325034975,17.33501615723278,10.994602127849324,10.376806151401478,0.8417888635781287,14.401811296016437,5.049238663065452,22.210936211447848,1.0801200328266516,6.548714173303051,3.934953469600625,19.51412535148398,18.184940021969,8.634780392757008,17.525448009715113,2.736437550974134,4.180358373551336,-14.269663261119458
25.66591861599904,8.796507564626758,34.98003732154615,4.08561683217586,15.744195080591425,3.74800746206959,10.44718887856012,0.9193261721454365,11.331652055991023,3.729090633413164,30.897472861403777,0.8437859636900789,9.07000249198389,4.596081357523381,17.884575315501277,19.318739802115505,5.791328947981917,18.398479561620636,3.959008759260662,5.717233966297856,-13.990661660343806
30.374351420819295,43.08718495903307,41.62520351097265,13.577613864288457,11.23722523496859,9.26854205486373,8.243675258686881,0.9637475932029202,12.923358860296393,4.657178084398759,28.649480495463138,0.20398498464391293,0.39964786332400787,1.8392305144698642,19.27648082102705,16.212524855379055,4.196835087832401,19.83892727877663,0.04704511499912121,4.503680358192188,-13.969730294177666
40.34986460999528,28.587518345562756,25.878282220714052,14.305010329005514,4.223423635751882,8.081416193014345,1.8541220189665486,0.8058853247121586,1.2698292427251439,1.7526317382703247,27.393835346745274,1.7003230716792437,12.534005185372534,2.392560678831108,16.72457348492051,17.793385249905796,7.042100629774638,17.32845571225142,1.5882317962287347,0.689052644140783,-14.067518339155551
45.34354420811809,36.04080228186903,39.88909904817146,8.688863907923167,6.268789723138167,4.0157839012542675,6.464491028160349,0.7036412828708207,10.291855686161114,9.277242885693676,32.523963771574415,4.562152710618488,20.174917973928327,3.642183908433413,17.08868226754454,19.855871786650376,6.380080739950203,19.004318219964176,1.709838908478354,2.03439492300109,-14.12791004852122
39.953046468935305,17.303145790291445,31.59649003803918,0.20560194402435839,19.473923740944045,2.303890350545789,5.970648660521714,0.746979214460858,9.717410443155392,14.962390112924444,34.33833175951469,1.3537041396531504,5.011990231188269,2.0036827427702155,16.610465289231602,15.78751683093359,3.908977647340758,18.728732984067342,3.690252059372123,0.8174121454901815,-13.86193574601013
21.04548594885683,15.5005644739485,36.058081932883006,5.545601116559317,1.216124886142998,11.004501134707782,3.3260203752605806,0.8827752848132004,6.973796523987125,12.976180352991415,23.578081472247725,2.0328216025406585,14.406943203883907,2.979323626234745,15.646698983201654,18.955973962561917,0.19054007602617073,18.143915591929876,0.8998207417357982,1.4912608930395417,-13.747559938959338
20.156060061123018,30.48986961701783,38.24180516495804,4.663316575237504,15.018384498016887,13.000051832213032,4.236982754043357,1.0996279043554917,0.5999375236274851,4.883433178401202,32.3453401918689,3.192877374397595,7.5780722563033835,0.2240450490409851,17.65896408056151,15.026257246252396,1.0547187151046604,15.822965083514418,3.096452565376625,5.007981615277014,-13.728490062912885
23.33003420517873,23.408620753727902,28.66750241792308,4.610711316041948,1.3310631269626683,11.373950176059369,5.560832392285372,0.8000214096129017,3.4616543394765324,7.308063998170963,25.203985807012074,3.0142239336539305,20.21144500655291,2.026205085181974,15.118129438536432,16.079035834028407,0.03673491024927672,15.559563955983373,0.4032894468036585,2.153855567409268,-13.746484145784194
23.40650359434909,7.831284528359945,21.26819730863953,0.5649664542214244,8.749615544014691,9.239346487059679,8.432898636178082,0.6433495981824836,1.6643393922415206,13.16917943893524,31.624919891036328,1.606218885123295,5.193371083412088,0.05262247297944056,17.211739062594784,16.718237632638626,0.23797051881290984,17.676855062788697,2.177808111335449,5.055555795732644,-13.736928611359799
29.321334550393605,10.336085412608975,29.44575916479755,0.6637357193883636,16.202299785607643,9.815759864759734,2.083251192109514,0.9752214708616302,7.43861446504534,7.799817612505811,36.41359162862658,4.220750089183874,11.85158252371196,0.9815470427249784,15.828783887641187,16.700753101514355,1.4769914137120574,18.315700392337533,1.4255748718594612,4.270403172444178,-13.66861640757644
25.20614629490675,39.27389741850773,23.308375402153114,2.8632906142796886,15.932823018303374,14.828031728892187,0.5333753710521973,1.0038777443384213,9.126239752218995,8.531334935329088,35.607946757300155,2.215329406546216,16.04889158805055,3.54593047287715,15.13210438024291,17.204580343855294,0.48822386266337237,17.160272435144474,1.9347631575468491,4.150038182139404,-13.722148100674108
